Locality,maxMinimumWage
"Alameda, CA ",15.0
"Albuquerque, NM ",7.5
"Bangor, ME ",9.75
"Belmont, CA ",15.9
"Berkeley, CA ",15.0
"Bernalillo County, NM ",8.5
"Burlingame, CA ",12.0
"Chicago, IL",15.0
"Cook County, IL ",13.0
"Cupertino, CA ",15.0
"Daly City, CA ",15.0
"Denver, CO ",15.87
"East Palo Alto, CA ",13.0
"El Cerrito, CA ",15.0
"Emeryville, CA ",15.0
"Flagstaff, AZ",15.5
"Freemont, CA ",15.0
"Half Moon Bay, CA ",13.0
"Hayward, CA ",13.0
"Hayward, CA ",12.0
"Howard County, MD ",16.0
"Las Cruces, NM ",10.1
"Los Altos, CA ",15.0
"Los Angeles, CA ",15.0
"Malibu, CA ",15.0
"Menlo Park, CA ",12.0
"Milpitas, CA ",15.0
"Minneapolis, MN ",15.0
"Montgomery County, MD  ",15.0
"Mountain View, CA ",15.0
"Novato, CA ",15.0
"Oakland, CA ",9.0
"Palo Alto, CA ",15.0
"Pasadena, CA",15.0
"Petaluma, CA ",12.0
"Portland, ME ",15.0
"Prince George's County, MD ",11.5
"Redwood City, CA ",15.0
"Richmond, CA ",15.0
"Rockland, ME ",15.0
"Saint Paul, MN ",15.0
"San Carlos, CA ",13.0
"San Diego, CA ",11.5
"San Francisco, CA",15.0
"San Jose, CA ",15.0
"San Leandro, CA ",15.0
"San Mateo, CA ",15.0
"San Mateo, CA ",13.5
"Santa Clara, CA ",15.0
"Santa Fe, NM ",9.5
"Santa Fe County, NM ",7.5
"Santa Monica, CA ",15.0
"Santa Rosa, CA ",15.0
"Seattle, WA ",15.75
"Sonoma, CA ",17.0
"South San Francisco, CA ",12.0
"Sunnyvale, CA",15.0
"Tucson, AZ ",15.0
Washington D.C.,15.0
"West Hollywood, CA ",17.64
