state,wage
Alabama,7.25
Alaska,10.34
Arizona,12.80
Arkansas,11.00
California,15.00
Colorado,12.56
Connecticut,13.00
Delaware,10.50
Washington D.C.,15.20
Florida,10.00
Georgia,5.15
Hawaii,10.10
Idaho,7.25
Illinois,12.00
Indiana,7.25
Iowa,7.25
Kansas,7.25
Kentucky,7.25
Louisiana,7.25
Maine,12.75
Maryland,12.50
Massachusetts,14.25
Michigan,9.87
Minnesota,10.33
Mississippi,7.25
Missouri,11.15
Montana,9.20
Nebraska,9.00
Nevada,9.75
New Hampshire,7.25
New Jersey,13.00
New Mexico,11.50
New York,13.20
North Carolina,7.25
North Dakota,7.25
Ohio,9.30
Oklahoma,7.25
Oregon,12.75
Pennsylvania,7.25
Rhode Island,12.25
South Carolina,7.25
South Dakota,9.95
Tennessee,7.25
Texas,7.25
Utah,7.25
Vermont,12.55
Virginia,11.00
Washington,14.49
West Virginia,8.75
Wisconsin,7.25
Wyoming,5.15
Federal,7.25
